,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
51,Pioneer Park - Mercer Island,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,1.25,200.0,300.0,4.25,4,"This Mercer Island park offers a dense network of forest trails with tall trees and a lot of moss, ferns and some seasonal wildflowers. All the trails are open to hikers and bicyclists; some also are designated for use by equestrians.","['Wildflowers/Meadows', 'Wildlife', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,Raging River Natural Area,ISSAQUAH ALPS,1.0,,280.0,5.0,1,"This area is managed primarily as important riparian habitat, but there are a couple short trails, one heading into the upland portion of the property and the other following along the river.","['Dogs allowed on leash', 'Good for kids', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Mercerdale Hillside Park,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,3.0,300.0,,3.0,2,"Stairs are the attraction at Mercerdale. The main stairway here includes 302 wooden steps climbing from Bicentennial Park to 74th Place SE, and several other locations offer plenty of ways to get your heart rate up.","['Wildlife', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,Skookum Flats,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,7.8,300.0,2550.0,3.65,23,Choose between a shorter or longer river walk through old-growth forest to a 250-foot cascading waterfall.,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Waterfalls', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55,Big Four Ice Caves,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,2.2,220.0,1938.0,3.95,107,This is an easy walk on a wide gravel and boardwalk path to views of Big Four Mountain and the caves beneath the snow. Hikers of all ages and abilities can enjoy this trail.,"['Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,Lower Dungeness River,OLYMPIC PENINSULA -- HOOD CANAL,12.6,2500.0,2700.0,3.78,9,The Lower Dungeness Trail travels through mostly conifer forests high above the river with a fair bit of elevation gain for a river hike.,"['Wildlife', 'Rivers', 'Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Fall foliage']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57,Tunnel Creek - Dosewallips Trailhead,OLYMPIC PENINSULA -- HOOD CANAL,6.4,4550.0,5050.0,4.0,6,"Tunnel Creek Trail has two trailheads.The south side trailhead is on the Dosewallips Road, but its notoriously steep grade to 5050 Pass means it is seldom used. Try it and you’ll find out why.","['Mountain views', 'Old growth', 'Rivers', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Iron Goat Trail,CENTRAL CASCADES -- STEVENS PASS - WEST,6.0,700.0,2800.0,4.02,42,"Take a hike through railroad history. The old tunnels, rusting relics, cement snow sheds and the big red caboose should appeal to kids of all ages, and the complex history of the railroad and those who built it, as well as the avalanche that wiped everything away will appeal to history buffs.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Rivers', 'Waterfalls']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,Granite Creek Trail to Granite Lakes,SNOQUALMIE REGION -- NORTH BEND AREA,8.8,2270.0,3070.0,4.1,52,"Granite Creek courses through the gorge between Mailbox Peak and Russian Butte. Ascend through the creek’s ravine, immersed in mountain rainforest, alongside whitewater rapids, waterfalls, wildflowers, and mushrooms, while you take in majestic views of the mountains of the Middle Fork valley. Seasonal treats include berries and fall colors.","['Mountain views', 'Wildlife', 'Waterfalls', 'Old growth', 'Dogs allowed on leash', 'Fall foliage', 'Rivers']",0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
60,Meadowdale Beach Park - Lunds Gulch,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,2.5,425.0,425.0,3.74,34,"Hike down a lushly forested ravine with a babbling creek to its estuary as it empties into Puget Sound. Heading to the beach, breathe in the serene panorama of Brown’s Bay, Puget Sound, the islands, and the Olympic Mountains. Watch seabirds and go beachcombing to look for crabshells, anemones, and other treasures.","['Mountain views', 'Dogs allowed on leash', 'Coast', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,Wenatchee Confluence State Park - Horan Natural Area,CENTRAL WASHINGTON -- WENATCHEE,2.5,0.0,640.0,3.5,8,Horan offers two miles of graveled trails and 15 viewing stations where visitors can watch local wildlife and learn about the flora and fauna that surround them.,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,Queets Campground Loop,OLYMPIC PENINSULA -- PACIFIC COAST,2.8,50.0,300.0,3.71,7,"The Queets Campground Loop is a quintessential rainforest experience. At just under three miles, it provides visitors with a generous variety of nature. Giant spruce and hemlock rise above great galleries of fern and oxalis. The wind whispers the memories of abandoned homesteads in the grasses of shrinking meadows. Owls hoot and frogs croak the song of an ancient melody. One stands here often and wonders.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
63,Queets River,OLYMPIC PENINSULA -- PACIFIC COAST,22.0,600.0,800.0,3.91,11,"The Queets River Trail is legendary for both its wild rainforest scenery and for the challenges it presents to the hiker. To begin, the trail can only be accessed after fording the glacier-born Queets River itself. Across the river, the trail is primitive and remote. Most hikers skip this trail either because of the ford or because it dead ends at 11 miles. But anglers and Olympiphiles hold a special place for this valley in their hearts.","['Dogs not allowed', 'Old growth', 'Wildlife', 'Established campsites', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
64,Hoh River Trail to Five Mile Island,OLYMPIC PENINSULA -- PACIFIC COAST,10.6,300.0,800.0,3.73,30,"A classic hike in any season, but come in winter and you’ll find that the hordes of tourists, hikers, and climbers who use this trail in the summer have dwindled to just a trickle.","['Mountain views', 'Wildlife', 'Established campsites', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
65,McClellan Butte,SNOQUALMIE REGION -- SNOQUALMIE PASS,9.0,3700.0,5162.0,4.14,44,"Along with the numerous other I-90 hikes there is no shortage of ‘workout’ on this hike. Like its counterparts, this trail is largely for those interested in heading up, steeply. Moderated with switchbacks at times, and with a gradual traverse when you need it, the rewards here are not without effort. The actual summit is a rock-scramble, but the views and the flower-packed west facing slope near the top can be enjoyed without making the true top. More than a few remaining old-growth trees and a soft tread make this a well-rounded hike whether it is a training hike or your weekend reward.","['Wildflowers/Meadows', 'Mountain views', 'Old growth', 'Summits']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Bob Heirman Wildlife Preserve,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,3.0,82.0,92.0,2.14,7,"If you just need some quiet time in nature and are not looking for a big workout, this little walk will be perfect. There is good access to the Snohomish River where you can find a place to throw a line in the water plus some good birding opportunities near the small lakes.","['Wildflowers/Meadows', 'Wildlife', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
67,Spencer Island,PUGET SOUND AND ISLANDS -- SEATTLE-TACOMA AREA,6.6,0.0,15.0,3.18,17,"Spencer Island is part of a larger area known as the Snohomish River Estuary and is a stop on the Washington State Great Birding Trail. The mix of saltwater from Possession Sound and fresh water from the Snohomish River create a unique ecosystem, making it one of the best birding spots in Puget Sound. On this walk, you don’t want to forget your binoculars!","['Mountain views', 'Wildlife', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
68,Camano Island State Park,PUGET SOUND AND ISLANDS -- BELLINGHAM AREA,2.6,200.0,200.0,2.83,12,"A fine little park with beach access, camping, a boat launch and trails. A popular park in the summer, this is a great place for a quiet off-season hike. On this loop trail, there are views, a forest walk, birding and beachcombing.","['Dogs allowed on leash', 'Good for kids', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,Ebey's Landing,PUGET SOUND AND ISLANDS -- WHIDBEY ISLAND,5.6,260.0,260.0,4.29,65,"Perched on a bluff overlooking majestic Puget Sound is the unique acreage of Ebey’s Landing. In addition to the Bluff Trail, visitors can experience the seaport town of Coupeville, observe working farms, and get their fill of wildlife viewing, all in a tiny National Park on Whidbey Island.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Coast']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70,Greenbank Farm,PUGET SOUND AND ISLANDS -- WHIDBEY ISLAND,14.0,275.0,300.0,3.17,6,"Greenbank Farm was saved from becoming a housing community by partnerships with local land officials and the Trust for Public Land. Thanks to protection from Island County and the Nature Conservancy, hikers can explore the many trails that web the more than 500 acres of fields that surround the expansive property of Greenbank.","['Mountain views', 'Wildlife', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,South Whidbey State Park,PUGET SOUND AND ISLANDS -- WHIDBEY ISLAND,7.0,200.0,400.0,3.86,7,"With commanding views of the Puget Sound and Olympic Mountains, this 347-acre park also has opportunities for bird watching, clamming and crabbing, and offers 3.5 miles of hiking trails in old-growth forest and along a stretch of unspoiled saltwater shoreline.","['Mountain views', 'Old growth', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Double Bluff,PUGET SOUND AND ISLANDS -- WHIDBEY ISLAND,4.0,,,3.54,13,Looking for a great day at the beach with the dog? Double Bluff is the place to be! Time it just right and at low tide you could walk for miles!,"['Wildlife', 'Coast', 'Mountain views', 'Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
73,Rasar State Park,NORTH CASCADES -- NORTH CASCADES HIGHWAY - HWY 20,3.0,20.0,125.0,3.67,6,Explore a beautiful state park near the Skagit River with an extensive trail network and beautiful campsites.,"['Mountain views', 'Wildlife', 'Established campsites', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
74,Anti-Aircraft Peak Loop,ISSAQUAH ALPS -- COUGAR MOUNTAIN,4.75,450.0,1380.0,3.05,20,"Hike a loop around Anti-Aircraft Peak in the Cougar Mountain Regional Wildland Park. Hike past sites associated with coal and clay mining, and a former 1950s-era anti-aircraft missile installation. Enjoy good forest trails, some seasonal wildflowers, and a million-dollar view.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,May Valley Loop,ISSAQUAH ALPS -- SQUAK MOUNTAIN,6.6,1684.0,2024.0,3.0,24,"This forested park, a wilderness with glimpses of Issaquah below, has miles of winding trails alongside bubbling creeks and narrow ravines. There are several trail loop options on this 2,024-foot-high mountain. With multi-use trails and a natural area, hikers have plenty to explore in this quiet sanctuary outside of Issaquah.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,Wildside Trail-De Leo Wall,ISSAQUAH ALPS -- COUGAR MOUNTAIN,4.2,489.0,1122.0,2.81,21,"A moderate, year round loop trail in the Issaquah Alps that is popular with hikers, dog walkers and trail runners. Entering the large parking area at the Red Town trailhead (one of several in this 3,100-acre regional park) it’s hard to imagine that what is today a lush green forest was once a busy coalmine operation. Now all that remains are nearly forgotten place names, a few carefully preserved artifacts and caution signs warning of the hazards of travel off established trails.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,Red Town Meadow & Trails,ISSAQUAH ALPS -- COUGAR MOUNTAIN,1.5,150.0,800.0,3.25,8,"Hike easy, very green trails in the northwest corner of Cougar Mountain Regional Wildland Park. View artifacts from the coal mining era. As optional hike extensions, look in on Far Country Falls, or check out the ongoing downstream Coal Creek Trail.","['Wildflowers/Meadows', 'Wildlife', 'Waterfalls', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78,Rattlesnake Mountain - Grand Prospect,SNOQUALMIE REGION -- NORTH BEND AREA,8.4,2120.0,3100.0,4.0,2,"This hike on Rattlesnake Mountain near North Bend follows good trails through second-growth forest, with possible wildlife sightings. It leads to some outstanding high viewpoints. In spite of the name, there are no rattlesnakes here.","['Mountain views', 'Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Rattlesnake Mountain,SNOQUALMIE REGION -- NORTH BEND AREA,21.0,2520.0,3500.0,3.66,44,"If you've hiked to Rattlesnake Ledges and beyond from Rattlesnake Lake, this is a delightful alternative. Thanks to the handiwork of various groups in the outdoor community, hikers can now reach Rattlesnake Mountain from the west, starting from a trailhead at Snoqualmie Point.","['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Perry Creek,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,10.5,3400.0,5250.0,4.24,29,"Perry Creek proves you can have it all in a single hike – old-growth forest, wildflowers, waterfalls, meadows, expansive mountain views, even lakes! Tread lightly, though-due to its unparalleled diversity of native plants, the area between the summits of Stillaguamish Peak, Mount Forgotten, and Mount Dickerman is a research natural area that could (in theory) be closed to all uses but scientific study.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Fall foliage', 'Mountain views', 'Old growth', 'Summits', 'Waterfalls']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
81,Big Four Ice Caves Snowshoe,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,7.0,250.0,1800.0,3.9,10,"While this is a popular location to snowshoe in wintertime, there is high risk in winter from avalanches off the mountain that feeds these caves. Keep to the main trail, and do not venture onto the snowfields at the end of the route.","['Mountain views', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Mount Forgotten,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,13.0,4300.0,6005.0,4.29,14,"Mount Forgotten is an appealing target for the peculiarly determined hiker-turned-climber. Its sheer wall of a summit is very striking and easily instills visions of alpinism in those headed to Mount Forgotten Meadows, but the route takes a roundabout journey that requires not so much vertiginous daring-do as it does oodles of patience. The views from the top are spectacular, particularly the unobstructed view straight up Glacier Peak.","['Wildflowers/Meadows', 'Mountain views', 'Waterfalls', 'Old growth', 'Summits', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
83,Mount Dickerman,NORTH CASCADES -- MOUNTAIN LOOP HIGHWAY,8.2,3950.0,5760.0,4.63,112,"If the best views come to those who earn them, Mount Dickerman offers the fairest vantage along the Mountain Loop. You’ll huff and puff through 4,000 feet of elevation on your way to the summit; in return, you’ll get a superb panorama of nearly every peak in the Mountain Loop. In late summer, it also rewards the intrepid with a bounty of mountain blueberries.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Old growth', 'Summits', 'Fall foliage']",0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84,Umtanum Ridge Crest,CENTRAL WASHINGTON -- YAKIMA,6.0,2400.0,3480.0,3.8,15,"Get a workout on this steep hike from Umtanum Creek to the ridge above the canyon. In spring, it is filled with wildflowers and birds, with chances of seeing rattlesnakes and bighorn sheep.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
85,Bordeaux Ghost Town,OLYMPIC PENINSULA -- OLYMPIA,,,,2.67,3,"Bordeaux Ghost Town is located on private property. This, in addition to its status as an archaeological site and concerns over graffiti and excessive trash has led to the land manager requesting that people refrain from visiting the site.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Stairway to Heaven,CENTRAL WASHINGTON -- WENATCHEE,9.7,900.0,,,0,Stairway to Heaven is a single track hiking and mountain biking trail in the foothills of Wenatchee. It climbs gently through fields of flowers and Ponderosa pine up to the summit of Twin Peaks. Enjoy views of the canyons and Wenatchee Valley down below.,"['Wildflowers/Meadows', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Guemes Mountain,PUGET SOUND AND ISLANDS -- SAN JUAN ISLANDS,2.4,550.0,688.0,3.83,6,"A collaboration between Skagit Land Trust and Washington Trails Association created this 1.2-mile trail up Guemes Mountain, offering views of the surrounding San Juan Islands. A treat year round, you'll also see unique prairie habitat and forest, in addition to those gorgeous views.","['Mountain views', 'Dogs allowed on leash', 'Summits', 'Good for kids', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
